"id","R","S","T","U","V","W","G","H","I","J","K","L","A","B","C","D","E","F","don","label"
14,14.6,39.4,91.6,15.9,7.3,15.7,5,4.7,14.7,17.7,8.2,4.6,1.9,3.9,9,4.7,7.2,7.7,0,"sadio"
14,14.6,39.4,91.6,16.9,7.3,16.9,5,4.7,14.7,17.7,8.8,4.6,1.9,3.9,9,5.6,7.2,7.7,1943,"21200"
14,14.6,39.4,92.8,16.9,7.3,15.7,4.5,4.2,12.7,18.1,8.2,4.6,1.9,2.9,8.1,4.7,6.4,7,799,"21210"
14,14.6,40.5,85.9,15.9,7.3,15.7,5,5.1,13.5,17.7,8.2,4.6,1.9,3.9,8.1,5.6,7.2,7.7,2009,"21199"
14,14.6,40.5,89.3,16.9,7.3,15.7,5,4.7,15.1,17.7,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7,2113,"21197"
14,14.6,40.5,98.5,17.9,7.3,16.9,5,4.7,14.7,19.7,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7,0,"21202"
14,14.6,41.6,90.5,16.9,7.3,15.7,5,5.1,15.1,18.1,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7,1788,"21195"
14,16,39.4,95.1,16.9,7.3,15.7,5,4.7,12.7,17.7,8.8,4.6,1.9,3.9,9,4.7,7.2,7.7,1508,"21198"
15,13.1,37.3,81.3,15.9,6.2,15.7,5,4.7,14.3,17.3,8.2,4.6,1.9,2.9,7.2,4.7,6.4,6.3,307,"21227"
15,13.1,40.5,88.2,16.9,7.3,15.7,5,4.7,14.3,17.7,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7,2113,"21197"
15,14.6,38.4,89.3,15.9,7.3,15.7,5,4.7,14.3,16.9,8.2,4.6,1.9,3.9,9,5.6,7.2,7.7,483,"21196"
15,14.6,39.4,85.9,15.9,7.3,15.7,5,4.7,13.1,17.3,8.2,4.6,1.9,3.9,8.1,4.7,7.2,7.7,2009,"21199"
15,14.6,39.4,90.5,16.9,7.3,16.9,5,4.7,14.7,18.1,8.8,4.6,1.9,3.9,7.2,4.7,6.4,7,0,"21201"
15,14.6,39.4,91.6,15.9,7.3,15.7,5,4.7,14.7,17.7,8.2,4.6,1.9,3.9,9,4.7,7.2,7.7,0,"sadio"
15,14.6,39.4,92.8,16.9,7.3,15.7,4.5,4.2,12.7,18.1,8.2,4.6,1.9,2.9,8.1,4.7,6.4,7,799,"21210"
15,14.6,39.4,95.1,16.9,7.3,15.7,5,4.7,12.7,17.7,8.8,4.6,1.9,3.9,9,4.7,7.2,7.7,1508,"21198"
15,14.6,40.5,89.3,16.9,7.3,16.9,5,5.1,14.7,18.1,8.8,4.6,1.9,3.9,9,5.6,7.2,7.7,1943,"21200"
15,14.6,40.5,99.6,17.9,7.3,16.9,5,4.7,14.7,19.3,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7,0,"21202"
15,14.6,41.6,89.3,16.9,7.3,15.7,5,5.1,15.1,18.1,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7,1788,"21195"
16,13.1,37.3,82.5,15.9,6.2,15.7,5,4.7,14.3,17.7,8.2,4.6,1.9,2.9,7.2,4.7,6.4,6.3,307,"21227"
16,13.1,38.4,84.7,15.9,7.3,15.7,5,4.7,13.9,18.1,8.2,4.6,1.9,2.9,7.2,4.7,6.4,6.3,799,"21210"
16,14.6,38.4,89.3,15.9,7.3,15.7,5,4.7,14.3,16.9,8.2,4.6,1.9,3.9,9,5.6,7.2,7.7,483,"21196"
16,14.6,39.4,88.2,15.9,7.3,15.7,5,4.7,15.1,16.9,8.2,4.6,1.9,3.9,8.1,4.7,7.2,7.7,0,"sadio"
16,14.6,39.4,90.5,16.9,6.2,16.9,5,4.7,12.7,18.1,8.2,4.6,1.9,2.9,8.1,4.7,6.4,7.7,1508,"21198"
16,14.6,39.4,90.5,16.9,7.3,16.9,5,4.7,14.7,18.1,8.8,4.6,1.9,3.9,7.2,4.7,6.4,7,0,"21201"
16,14.6,39.4,95.1,16.9,7.3,16.9,5,4.7,14.3,18.9,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7,0,"21202"
16,14.6,40.5,81.3,15.9,6.2,15.7,5.5,5.1,14.3,18.5,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7.7,2009,"21199"
16,14.6,40.5,87,15.9,7.3,15.7,5,5.1,14.3,18.5,8.8,4.6,1.9,3.9,8.1,4.7,7.2,7,1788,"21195"
16,14.6,40.5,90.5,16.9,7.3,15.7,5,4.7,14.3,17.7,8.8,4.6,1.9,2.9,8.1,5.6,7.2,7,2113,"21197"
16,14.6,40.5,90.5,16.9,7.3,16.9,5,4.7,14.7,17.7,8.8,4.6,1.9,3.9,8.1,5.6,7.2,7,1943,"21200"
